               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 110,            0.041078,            0.010642,           0.0062801,             0.59703,             0.95543,             0.76898,             0.35038,            0.035153,           0.0059778,           0.0053638,           0.0078418,           0.0078418,           0.0078418
                 111,            0.045296,            0.010697,           0.0053081,             0.90675,                   1,             0.98914,             0.64525,            0.026851,           0.0054076,           0.0038124,            0.007822,            0.007822,            0.007822
                 112,            0.038832,           0.0098078,           0.0067088,             0.90675,                   1,             0.98914,             0.64525,            0.026851,           0.0054076,           0.0038124,           0.0078022,           0.0078022,           0.0078022
                 113,            0.037744,           0.0092388,           0.0060496,             0.99635,                   1,               0.995,             0.73961,            0.021673,           0.0052296,           0.0035319,           0.0077824,           0.0077824,           0.0077824
                 114,            0.035927,           0.0092324,            0.005417,             0.73657,                   1,             0.92567,              0.6379,            0.026079,           0.0054947,            0.003359,           0.0077626,           0.0077626,           0.0077626
                 115,            0.035685,            0.009999,           0.0076829,             0.99415,                   1,               0.995,             0.57534,            0.026891,           0.0055107,           0.0033119,           0.0077428,           0.0077428,           0.0077428
                 116,            0.043406,           0.0097264,           0.0060481,             0.99415,                   1,               0.995,             0.57534,            0.026891,           0.0055107,           0.0033119,            0.007723,            0.007723,            0.007723
                 117,            0.040129,            0.011717,           0.0060592,             0.99203,                   1,               0.995,             0.75626,            0.023427,           0.0053833,           0.0033344,           0.0077032,           0.0077032,           0.0077032
                 118,            0.038529,           0.0093439,           0.0059663,             0.90627,                   1,             0.98201,             0.46351,            0.031309,           0.0056689,           0.0032275,           0.0076834,           0.0076834,           0.0076834
                 119,            0.041654,            0.010478,            0.009378,             0.84044,                   1,             0.99381,             0.54473,             0.02899,           0.0054919,           0.0031871,           0.0076636,           0.0076636,           0.0076636
                 120,            0.041657,            0.011129,           0.0080264,             0.84044,                   1,             0.99381,             0.54473,             0.02899,           0.0054919,           0.0031871,           0.0076438,           0.0076438,           0.0076438
                 121,            0.036869,           0.0091422,           0.0057346,             0.69984,             0.99316,             0.97532,             0.54168,             0.02788,           0.0054076,           0.0031775,            0.007624,            0.007624,            0.007624
                 122,            0.037186,           0.0097807,           0.0063627,             0.95551,                   1,               0.995,             0.67423,            0.029093,           0.0052955,           0.0031894,           0.0076042,           0.0076042,           0.0076042
                 123,            0.036693,            0.010172,           0.0051797,             0.72352,                   1,             0.92088,             0.54108,            0.030899,           0.0057416,           0.0031889,           0.0075844,           0.0075844,           0.0075844
                 124,            0.042602,           0.0098625,           0.0057117,             0.72352,                   1,             0.92088,             0.54108,            0.030899,           0.0057416,           0.0031889,           0.0075646,           0.0075646,           0.0075646
                 125,            0.037969,           0.0098489,           0.0060997,             0.74423,                   1,             0.91945,             0.51082,            0.028422,           0.0054489,            0.003248,           0.0075448,           0.0075448,           0.0075448
                 126,            0.035304,            0.009467,           0.0072409,             0.97289,               0.984,             0.98786,             0.77537,            0.025969,           0.0054211,           0.0033401,            0.007525,            0.007525,            0.007525
                 127,            0.038368,           0.0086335,           0.0051101,             0.97239,                   1,               0.995,             0.66679,            0.024364,           0.0053683,           0.0034717,           0.0075052,           0.0075052,           0.0075052
                 128,            0.033176,           0.0095236,           0.0060495,             0.97239,                   1,               0.995,             0.66679,            0.024364,           0.0053683,           0.0034717,           0.0074854,           0.0074854,           0.0074854
                 129,            0.031581,           0.0093707,           0.0070367,             0.92305,                   1,             0.97206,             0.75718,            0.020591,           0.0053318,           0.0035646,           0.0074656,           0.0074656,           0.0074656
                 130,            0.034203,           0.0089553,           0.0073398,             0.94245,                   1,               0.995,             0.75127,            0.022579,           0.0054263,           0.0036253,           0.0074458,           0.0074458,           0.0074458
                 131,            0.038699,            0.010799,           0.0061704,             0.99648,                   1,               0.995,               0.607,            0.025432,           0.0051662,           0.0035605,            0.007426,            0.007426,            0.007426
                 132,            0.037408,           0.0097497,           0.0061248,             0.99648,                   1,               0.995,               0.607,            0.025432,           0.0051662,           0.0035605,           0.0074062,           0.0074062,           0.0074062
                 133,            0.033287,           0.0095296,           0.0052858,             0.99624,                   1,               0.995,             0.78534,            0.019825,           0.0050707,           0.0036032,           0.0073864,           0.0073864,           0.0073864
                 134,            0.034171,            0.010227,            0.006237,             0.96632,                   1,               0.995,              0.3898,            0.031464,           0.0056949,           0.0036373,           0.0073666,           0.0073666,           0.0073666
                 135,            0.041344,            0.009474,            0.005944,             0.99285,                   1,               0.995,             0.73065,            0.022332,           0.0052005,           0.0036579,           0.0073468,           0.0073468,           0.0073468
                 136,             0.03456,           0.0096454,           0.0058867,             0.99285,                   1,               0.995,             0.73065,            0.022332,           0.0052005,           0.0036579,            0.007327,            0.007327,            0.007327
                 137,            0.030131,           0.0087884,           0.0049931,             0.99495,                   1,               0.995,             0.74904,            0.017859,           0.0050537,           0.0036307,           0.0073072,           0.0073072,           0.0073072
                 138,            0.028838,            0.010232,           0.0055741,             0.86722,                   1,             0.95777,             0.73311,            0.020069,           0.0050312,           0.0035266,           0.0072874,           0.0072874,           0.0072874
                 139,            0.032146,           0.0097965,           0.0051075,             0.97077,                   1,             0.99143,             0.69358,            0.025247,           0.0051102,           0.0033809,           0.0072676,           0.0072676,           0.0072676
                 140,            0.039803,            0.010642,            0.004276,             0.97077,                   1,             0.99143,             0.69358,            0.025247,           0.0051102,           0.0033809,           0.0072478,           0.0072478,           0.0072478
                 141,            0.031928,           0.0094686,           0.0041419,             0.88868,                   1,             0.98054,             0.72518,              0.0204,           0.0050216,           0.0033056,            0.007228,            0.007228,            0.007228
                 142,             0.03514,           0.0090183,           0.0054266,             0.75309,               0.925,             0.90849,             0.68693,            0.024286,           0.0050822,           0.0033025,           0.0072082,           0.0072082,           0.0072082
                 143,            0.037105,           0.0097306,           0.0047431,               0.781,                   1,             0.92703,             0.68476,            0.024088,            0.004945,           0.0032345,           0.0071884,           0.0071884,           0.0071884
                 144,            0.035736,           0.0087276,           0.0041838,               0.781,                   1,             0.92703,             0.68476,            0.024088,            0.004945,           0.0032345,           0.0071686,           0.0071686,           0.0071686
                 145,            0.035229,            0.010121,           0.0081092,             0.92537,                   1,              0.9846,             0.67327,            0.022825,           0.0048795,            0.003214,           0.0071488,           0.0071488,           0.0071488
                 146,            0.035709,           0.0075286,           0.0047674,             0.80296,             0.96764,             0.92761,             0.52811,            0.029199,           0.0050753,           0.0032189,            0.007129,            0.007129,            0.007129
                 147,            0.041166,           0.0090561,           0.0043122,             0.99461,                   1,               0.995,             0.77741,            0.021254,           0.0047746,           0.0033213,           0.0071092,           0.0071092,           0.0071092
                 148,            0.033262,             0.01006,           0.0054665,             0.99461,                   1,               0.995,             0.77741,            0.021254,           0.0047746,           0.0033213,           0.0070894,           0.0070894,           0.0070894
                 149,            0.029588,            0.010387,           0.0040099,             0.99082,                   1,               0.995,             0.79466,            0.017691,           0.0046956,            0.003401,           0.0070696,           0.0070696,           0.0070696
                 150,             0.03241,           0.0095843,           0.0066542,             0.98921,                   1,               0.995,             0.70934,            0.023144,           0.0050328,           0.0034894,           0.0070498,           0.0070498,           0.0070498
                 151,            0.036539,           0.0096907,           0.0048636,             0.75441,                   1,             0.85444,             0.52335,            0.023009,           0.0048894,           0.0036355,             0.00703,             0.00703,             0.00703
                 152,            0.036429,            0.010589,           0.0058198,             0.75441,                   1,             0.85444,             0.52335,            0.023009,           0.0048894,           0.0036355,           0.0070102,           0.0070102,           0.0070102
                 153,            0.034522,            0.009434,           0.0058459,             0.89513,                   1,              0.9538,             0.61261,             0.02123,           0.0048058,            0.003729,           0.0069904,           0.0069904,           0.0069904
                 154,             0.03289,           0.0091401,           0.0047669,              0.7552,                   1,             0.85797,              0.6094,              0.0213,           0.0047889,           0.0042431,           0.0069706,           0.0069706,           0.0069706
                 155,            0.034742,            0.010595,           0.0057254,              0.9706,                   1,               0.995,             0.79068,            0.021852,           0.0048691,           0.0060712,           0.0069508,           0.0069508,           0.0069508
                 156,            0.035685,           0.0084477,           0.0077095,              0.9706,                   1,               0.995,             0.79068,            0.021852,           0.0048691,           0.0060712,            0.006931,            0.006931,            0.006931
